Autorización,Institución,Fecha,Tipo de movimiento,Importe,Referencia,Saldo,Cuenta de transacción
329043756,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025  9:09 AM,Comisión,-0.68,,1141.44,
329036645,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025  9:02 AM,Comisión,-0.09,,1082.65,
329033191,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025  9:02 AM,Comisión,-0.08,,1075.11,
329029519,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025  9:01 AM,Comisión,-0.09,,1067.79,
329000206,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025  8:54 AM,Comisión,-0.09,,1060.13,
328962728,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025  8:45 AM,Comisión,-0.09,,1052.22,
328923190,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  5:09 PM,Comisión,-0.09,,1044.56,
328920360,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  5:06 PM,Comisión,-0.08,,1036.9,
328823443,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:35 AM,Comisión,-0.08,,1029.59,
328816400,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:35 AM,Comisión,-0.08,,1022.28,
328765770,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:33 AM,Comisión,-0.08,,1015.08,
328757649,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:33 AM,Comisión,-0.09,,1008.0,
328725288,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:32 AM,Comisión,-0.12,,999.71,
328701887,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:31 AM,Comisión,-0.09,,990.24,
328637338,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:28 AM,Comisión,-0.09,,982.58,
328617203,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:28 AM,Comisión,-0.09,,974.8,
328535760,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:24 AM,Comisión,-0.08,,967.26,
328530588,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:24 AM,Comisión,-0.08,,960.06,
328465618,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:22 AM,Comisión,-0.09,,952.75,
328464154,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:22 AM,Comisión,-0.09,,945.21,
328333840,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:11 AM,Comisión,-0.08,,936.93,
328241690,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:06 AM,Comisión,-0.08,,929.86,
328220740,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  9:04 AM,Comisión,-0.09,,923.12,
328182298,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  8:41 AM,Comisión,-0.09,,915.7,
328164369,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,14/01/2025  8:38 AM,Comisión,-0.13,,908.28,
