Autorización,Institución,Fecha,Tipo de movimiento,Importe,Referencia,Saldo,Cuenta de transacción
331985906,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  8:50 AM,Comisión,-0.08,,15.95,
331940132,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  8:46 AM,Comisión,-0.08,,8.64,
331815802,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,23/01/2025  8:58 AM,Comisión,-0.08,,171.32,
331744493,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,23/01/2025  8:54 AM,Comisión,-0.09,,164.24,
331719529,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,23/01/2025  8:52 AM,Comisión,-0.09,,156.82,
331705250,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,23/01/2025  8:50 AM,Comisión,-0.09,,149.28,
331703552,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,23/01/2025  8:50 AM,Comisión,-0.08,,141.86,
331647854,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,23/01/2025  8:36 AM,Comisión,-0.12,,134.55,
331619050,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,23/01/2025  8:34 AM,Comisión,-0.09,,124.3,
331511581,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,22/01/2025 12:03 PM,Comisión,-0.08,,116.88,
331504306,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,22/01/2025 12:02 PM,Comisión,-0.08,,109.8,
331458038,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,22/01/2025 11:55 AM,Comisión,-0.1,,102.61,
331363589,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,22/01/2025 11:39 AM,Comisión,-0.09,,93.87,
331360923,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,22/01/2025 11:38 AM,Comisión,-0.09,,86.21,
331341549,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,22/01/2025 11:35 AM,Comisión,-0.21,,78.3,
331322405,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,22/01/2025 11:20 AM,Comisión,-0.45,,60.62,
331320336,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,22/01/2025 11:18 AM,Comisión,-0.12,,22.2,
331318614,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,22/01/2025 11:16 AM,Comisión,-0.08,,12.18,
331183901,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:58 PM,Comisión,-0.08,,205.45,
331180497,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:58 PM,Comisión,-0.09,,198.25,
331129884,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:56 PM,Comisión,-0.12,,190.83,
331108251,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:55 PM,Comisión,-0.09,,180.47,
331106708,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:55 PM,Comisión,-0.12,,172.93,
331082158,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:53 PM,Comisión,-0.08,,162.91,
331080926,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:53 PM,Comisión,-0.08,,155.83,
