Autorización,Institución,Fecha,Tipo de movimiento,Importe,Referencia,Saldo,Cuenta de transacción
333490808,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,29/01/2025  8:44 AM,Comisión,-0.09,,200.19,
333485174,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,29/01/2025  8:43 AM,Comisión,-0.09,,192.53,
333475221,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,29/01/2025  8:43 AM,Comisión,-0.08,,184.99,
333453185,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,29/01/2025  8:42 AM,Comisión,-0.09,,178.25,
333419932,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,29/01/2025  8:39 AM,Comisión,-0.09,,170.46,
333311992,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:53 AM,Comisión,-0.09,,163.04,
333233120,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:50 AM,Comisión,-0.12,,155.62,
333213929,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:49 AM,Comisión,-0.08,,145.52,
333169227,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:47 AM,Comisión,-0.08,,138.44,
333168751,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:47 AM,Comisión,-0.08,,131.7,
333166093,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:47 AM,Comisión,-0.08,,124.96,
333162052,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:47 AM,Comisión,-0.08,,117.65,
333160966,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:47 AM,Comisión,-0.08,,110.45,
333089079,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:43 AM,Comisión,-0.08,,103.37,
333043774,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:41 AM,Comisión,-0.12,,96.18,
333043148,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:41 AM,Comisión,-0.09,,85.82,
332968552,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:37 AM,Comisión,-0.08,,78.03,
332966728,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:37 AM,Comisión,-0.09,,70.72,
332924074,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:35 AM,Comisión,-0.09,,63.18,
332876567,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:33 AM,Comisión,-0.13,,55.76,
332846633,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:31 AM,Comisión,-0.08,,44.8,
332826720,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:30 AM,Comisión,-0.08,,37.61,
332801736,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:28 AM,Comisión,-0.09,,30.42,
332760541,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  9:26 AM,Comisión,-0.09,,22.51,
332718728,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  8:59 AM,Comisión,-0.09,,215.09,
