Autorización,Institución,Fecha,Tipo de movimiento,Importe,Referencia,Saldo,Cuenta de transacción
331080064,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:53 PM,Comisión,-0.08,,148.52,
331079214,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:53 PM,Comisión,-0.09,,141.21,
330997668,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:49 PM,Comisión,-0.09,,133.79,
330940889,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:46 PM,Comisión,-0.09,,126.25,
330937135,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:46 PM,Comisión,-0.09,,118.59,
330923895,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:45 PM,Comisión,-0.08,,110.69,
330905581,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:43 PM,Comisión,-0.09,,103.49,
330847622,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:30 PM,Comisión,-0.08,,96.07,
330842524,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:30 PM,Comisión,-0.09,,88.76,
330828844,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025 12:28 PM,Comisión,-0.08,,81.22,
330756646,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025  9:20 AM,Comisión,-0.2,,73.91,
330740390,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025  9:20 AM,Comisión,-0.08,,57.07,
330717689,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025  9:19 AM,Comisión,-0.09,,49.99,
330695602,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025  9:18 AM,Comisión,-0.09,,42.57,
330585558,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025  9:11 AM,Comisión,-0.09,,34.91,
330519998,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025  9:05 AM,Comisión,-0.09,,227.25,
330519236,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025  9:05 AM,Comisión,-0.09,,219.34,
330517446,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025  9:05 AM,Comisión,-0.09,,211.68,
330513868,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025  9:05 AM,Comisión,-0.09,,204.02,
330511311,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025  9:05 AM,Comisión,-0.09,,196.48,
330506527,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025  9:04 AM,Comisión,-0.09,,188.94,
330499320,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,21/01/2025  9:02 AM,Comisión,-0.09,,181.28,
330444290,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,20/01/2025  5:30 PM,Comisión,-0.75,,173.74,
330432258,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,20/01/2025  4:23 PM,Comisión,-0.1,,109.78,
330397912,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,20/01/2025 12:23 PM,Comisión,-0.12,,101.17,
