Autorización,Institución,Fecha,Tipo de movimiento,Importe,Referencia,Saldo,Cuenta de transacción
332703766,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  8:58 AM,Comisión,-0.09,,207.18,
332697881,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  8:58 AM,Comisión,-0.21,,199.76,
332677461,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  8:56 AM,Comisión,-0.08,,182.08,
332652513,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  8:53 AM,Comisión,-0.08,,174.89,
332629125,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,28/01/2025  8:48 AM,Comisión,-0.08,,167.58,
332500203,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,27/01/2025 10:09 AM,Comisión,-0.09,,160.39,
332438310,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,27/01/2025 10:04 AM,Comisión,-0.09,,152.49,
332386247,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,27/01/2025 10:00 AM,Comisión,-0.09,,144.71,
332381996,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,27/01/2025  9:58 AM,Comisión,-0.03,,137.04,
332346724,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,27/01/2025  9:28 AM,Comisión,-0.09,,133.66,
332293123,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  5:18 PM,Comisión,-0.08,,125.88,
332236856,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  1:40 PM,Comisión,-0.05,,118.57,
332173900,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  9:42 AM,Comisión,-0.08,,114.49,
332159445,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  9:01 AM,Comisión,-0.08,,107.3,
332137443,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  9:00 AM,Comisión,-0.08,,99.99,
332122398,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  8:59 AM,Comisión,-0.09,,93.14,
332110880,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  8:58 AM,Comisión,-0.09,,85.36,
332105866,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  8:58 AM,Comisión,-0.09,,77.94,
332095296,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  8:58 AM,Comisión,-0.13,,70.52,
332091760,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  8:57 AM,Comisión,-0.09,,59.94,
332079450,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  8:57 AM,Comisión,-0.08,,52.15,
332065076,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  8:56 AM,Comisión,-0.08,,45.41,
332063108,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  8:56 AM,Comisión,-0.09,,38.22,
332061858,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  8:55 AM,Comisión,-0.08,,30.8,
332054234,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,24/01/2025  8:55 AM,Comisión,-0.09,,23.61,
