Autorización,Institución,Fecha,Tipo de movimiento,Importe,Referencia,Saldo,Cuenta de transacción
328141350,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,13/01/2025  5:49 PM,Comisión,-0.08,,897.84,
328136306,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,13/01/2025  5:36 PM,Comisión,-0.03,,890.75,
328049959,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,13/01/2025  9:47 AM,Comisión,-0.09,,887.44,
328011278,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,13/01/2025  9:39 AM,Comisión,-0.08,,879.78,
328010069,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,13/01/2025  9:39 AM,Comisión,-0.08,,872.93,
328005018,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,13/01/2025  9:38 AM,Comisión,-0.08,,866.2,
327970711,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,13/01/2025  9:35 AM,Comisión,-0.08,,859.47,
327832318,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,13/01/2025  9:19 AM,Comisión,-0.09,,852.28,
327802463,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,13/01/2025  8:47 AM,Comisión,-0.05,,844.25,
327793099,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,13/01/2025  8:42 AM,Comisión,-0.08,,840.46,
327749834,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,12/01/2025  5:00 PM,Comisión,-0.09,,833.68,
327676977,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,10/01/2025  9:36 AM,Comisión,-0.09,,826.22,
327636420,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,10/01/2025  9:32 AM,Comisión,-0.09,,818.56,
327534831,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,10/01/2025  9:21 AM,Comisión,-0.09,,810.9,
327467597,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,10/01/2025  9:16 AM,Comisión,-0.08,,803.36,
327428795,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,10/01/2025  8:56 AM,Comisión,-0.09,,796.16,
327404013,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,09/01/2025  5:42 PM,Comisión,-0.09,,788.71,
327280585,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,09/01/2025 11:43 AM,Comisión,-0.09,,780.97,
327146393,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,09/01/2025  8:45 AM,Comisión,-0.09,,773.31,
327107641,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,09/01/2025  8:22 AM,Comisión,-0.12,,765.89,
327072870,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,08/01/2025  5:46 PM,Comisión,-0.08,,755.79,
327047358,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,08/01/2025  9:43 AM,Comisión,-0.08,,749.28,
326982742,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,08/01/2025  9:39 AM,Comisión,-0.1,,742.2,
326943656,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,08/01/2025  9:35 AM,Comisión,-0.09,,733.35,
326933930,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,08/01/2025  9:34 AM,Comisión,-0.13,,725.93,
