Autorización,Institución,Fecha,Tipo de movimiento,Importe,Referencia,Saldo,Cuenta de transacción
325618155,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,06/01/2025  9:16 AM,Comisión,-0.09,,161.82,
325544663,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,06/01/2025  9:07 AM,Comisión,-0.08,,154.04,
325499731,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,06/01/2025  8:31 AM,Comisión,-0.13,,146.73,
325468333,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  3:43 PM,Comisión,-0.87,,336.09,
325466575,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  3:43 PM,Comisión,-0.09,,261.96,
325464040,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  3:41 PM,Comisión,-0.08,,254.42,
325418933,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025 10:07 AM,Comisión,-0.08,,247.21,
325366803,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025 10:02 AM,Comisión,-0.13,,240.36,
325324965,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  9:55 AM,Comisión,-0.08,,229.75,
325312666,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  9:52 AM,Comisión,-0.08,,222.56,
325255116,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  9:42 AM,Comisión,-0.09,,215.25,
325244556,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  9:40 AM,Comisión,-0.09,,207.71,
325207297,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  9:34 AM,Comisión,-0.08,,200.29,
325182200,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  9:31 AM,Comisión,-0.13,,192.98,
325150605,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  9:21 AM,Comisión,-0.09,,182.37,
325131453,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  9:19 AM,Comisión,-0.09,,174.83,
325118662,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  9:17 AM,Comisión,-0.09,,167.17,
325065415,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  9:10 AM,Comisión,-0.09,,159.63,
325055485,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  9:08 AM,Comisión,-0.13,,152.21,
325050828,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,03/01/2025  9:07 AM,Comisión,-0.08,,141.07,
324949570,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,02/01/2025 12:28 PM,Comisión,-0.08,,1533.76,
324940492,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,02/01/2025 12:27 PM,Comisión,-0.08,,1526.56,
324925223,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,02/01/2025 12:25 PM,Comisión,-0.08,,1519.36,
324879817,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,02/01/2025 12:17 PM,Comisión,-0.09,,1512.04,
324835263,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,02/01/2025  9:54 AM,Comisión,-0.06,,1504.62,
