Autorización,Institución,Fecha,Tipo de movimiento,Importe,Referencia,Saldo,Cuenta de transacción
334396882,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,31/01/2025  4:22 PM,Comisión,-0.09,,206.82,
334348103,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,31/01/2025  1:19 PM,Comisión,-0.03,,199.14,
334306277,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,31/01/2025 10:06 AM,Comisión,-0.22,,395.8,
334267609,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,31/01/2025 10:04 AM,Comisión,-0.08,,377.3,
334242795,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,31/01/2025 10:02 AM,Comisión,-0.15,,370.34,
334217634,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,31/01/2025 10:00 AM,Comisión,-0.09,,357.31,
334159016,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,31/01/2025  9:55 AM,Comisión,-0.12,,349.53,
334138959,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,31/01/2025  9:52 AM,Comisión,-0.09,,339.28,
334082217,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,31/01/2025  9:42 AM,Comisión,-0.27,,331.5,
334037640,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,31/01/2025  8:53 AM,Comisión,-0.09,,108.3,
333916864,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,30/01/2025  9:19 AM,Comisión,-0.09,,100.58,
333879156,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,30/01/2025  9:17 AM,Comisión,-0.09,,93.16,
333878464,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,30/01/2025  9:17 AM,Comisión,-0.09,,85.74,
333833399,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,30/01/2025  9:13 AM,Comisión,-0.09,,78.32,
333830232,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,30/01/2025  9:13 AM,Comisión,-0.08,,70.9,
333716438,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,30/01/2025  8:50 AM,Comisión,-0.09,,63.59,
333715424,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,30/01/2025  8:50 AM,Comisión,-0.09,,56.05,
333706259,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,30/01/2025  8:49 AM,Comisión,-0.08,,48.39,
333696487,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,30/01/2025  8:48 AM,Comisión,-0.09,,41.19,
333679732,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,30/01/2025  8:38 AM,Comisión,-0.05,,33.65,
333650987,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,29/01/2025 12:36 PM,Comisión,-0.06,,30.15,
333626030,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,29/01/2025 11:40 AM,Comisión,-0.03,,25.39,
333615273,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,29/01/2025  9:11 AM,Comisión,-0.09,,22.35,
333613079,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,29/01/2025  9:11 AM,Comisión,-0.08,,14.81,
333543620,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,29/01/2025  8:46 AM,Comisión,-0.09,,207.73,
