Autorización,Institución,Fecha,Tipo de movimiento,Importe,Referencia,Saldo,Cuenta de transacción
329549745,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025 12:23 PM,Comisión,-0.08,,174.17,
329540647,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025 12:22 PM,Comisión,-0.13,,166.97,
329504777,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025 12:19 PM,Comisión,-0.09,,155.65,
329474686,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025  9:40 AM,Comisión,-0.08,,148.23,
329471660,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025  9:40 AM,Comisión,-0.12,,141.15,
329471158,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025  9:40 AM,Comisión,-0.12,,131.05,
329442994,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025  9:38 AM,Comisión,-0.09,,120.95,
329441468,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025  9:38 AM,Comisión,-0.08,,113.53,
329439214,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025  9:38 AM,Comisión,-0.09,,106.34,
329428464,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025  9:37 AM,Comisión,-0.08,,98.68,
329347680,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025  8:53 AM,Comisión,-0.09,,91.37,
329338519,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025  8:45 AM,Comisión,-0.13,,83.47,
329299068,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025  5:33 PM,Comisión,0.08,,72.86,
329298924,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025  5:32 PM,Comisión,-0.08,,79.28,
329262940,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025  1:38 PM,Comisión,-0.08,,272.86,
329262938,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025  1:38 PM,Comisión,-0.08,,265.55,
329262900,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025  1:38 PM,Comisión,-0.08,,258.24,
329228946,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025 12:24 PM,Comisión,-0.12,,1250.93,
329126024,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025 12:09 PM,Comisión,-0.09,,1240.83,
329120342,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025 12:08 PM,Comisión,-0.16,,1233.29,
329101108,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025 11:37 AM,Comisión,-0.52,,1219.37,
329095279,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025 11:34 AM,Comisión,-0.09,,1174.89,
329055033,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025  9:19 AM,Comisión,-0.08,,1167.07,
329049553,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025  9:14 AM,Comisión,-0.13,,1159.78,
329044097,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,15/01/2025  9:10 AM,Comisión,-0.09,,1149.34,
