Autorización,Institución,Fecha,Tipo de movimiento,Importe,Referencia,Saldo,Cuenta de transacción
330374127,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,20/01/2025 12:22 PM,Comisión,-0.41,,91.37,
330347657,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,20/01/2025 12:20 PM,Comisión,-0.09,,56.75,
330345499,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,20/01/2025 12:20 PM,Comisión,-0.09,,49.33,
330221954,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,20/01/2025  9:23 AM,Comisión,-0.08,,41.79,
330211391,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,20/01/2025  9:10 AM,Comisión,-0.08,,34.6,
330172717,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,20/01/2025  9:01 AM,Comisión,-0.09,,27.75,
330170702,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,20/01/2025  8:59 AM,Comisión,-0.07,,20.09,
330082284,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,17/01/2025  6:00 PM,Comisión,-0.08,,13.75,
330057175,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,17/01/2025  2:30 PM,Comisión,-1.3,,206.55,
329994789,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,17/01/2025  9:43 AM,Comisión,-0.08,,95.77,
329979570,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,17/01/2025  9:42 AM,Comisión,-0.08,,88.69,
329978542,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,17/01/2025  9:42 AM,Comisión,-0.12,,81.96,
329978540,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,17/01/2025  9:42 AM,Comisión,-0.08,,71.86,
329969143,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,17/01/2025  9:41 AM,Comisión,-0.08,,65.13,
329838115,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,17/01/2025  9:32 AM,Comisión,-0.09,,58.17,
329805207,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,17/01/2025  9:30 AM,Comisión,-0.13,,50.63,
329788639,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,17/01/2025  9:29 AM,Comisión,-0.09,,39.67,
329780248,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,17/01/2025  9:25 AM,Comisión,-0.08,,32.13,
329762248,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,17/01/2025  9:09 AM,Comisión,-0.09,,25.05,
329752231,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,17/01/2025  9:00 AM,Comisión,-0.09,,17.51,
329688515,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025  1:18 PM,Comisión,-0.08,,209.84,
329649315,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025 12:30 PM,Comisión,-0.08,,203.41,
329637061,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025 12:29 PM,Comisión,-0.08,,196.21,
329562375,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025 12:24 PM,Comisión,-0.09,,189.25,
329560561,COMUNIDAD DE PRESTAMOS SAPI DE CV INSTITUCION DE FINANCIAMIENTO COLECTIVO,16/01/2025 12:24 PM,Comisión,-0.09,,181.71,
